"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","multiple_lines","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_revenue","customer_status","churn_category","churn_reason"
"72469-MAD","Male",56,"No","Madhya Pradesh",9,9,"None","No","Cable","Yes","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Credit Card","55.70","55.70","73.38","Joined","Others","Others"
"46792-MAD","Female",59,"Yes","Madhya Pradesh",6,25,"Deal 5","No","DSL","No","No","Yes","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card","35.90","35.90","35.90","Joined","Others","Others"
"28873-TAM","Male",55,"No","Tamil Nadu",7,4,"None","No","Fiber Optic","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","74.95","151.75","159.27","Joined","Others","Others"
"95748-UTT","Male",22,"Yes","Uttar Pradesh",5,4,"Deal 5","Yes","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check","25.40","25.40","58.13","Joined","Others","Others"
"23683-TEL","Male",26,"No","Telangana",10,16,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.25","20.25","63.21","Joined","Others","Others"
"84789-PUN","Male",46,"No","Punjab",9,19,"Deal 5","No","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","107.95","318.60","356.58","Joined","Others","Others"
"84508-TAM","Female",28,"Yes","Tamil Nadu",11,28,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","21.10","21.10","39.91","Joined","Others","Others"
"98301-WES","Male",28,"Yes","West Bengal",4,27,"None","No","Cable","Yes","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","53.45","119.50","144.68","Joined","Others","Others"
"16068-BIH","Female",44,"Yes","Bihar",4,25,"Deal 5","No","DSL","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","25.25","25.25","35.25","Joined","Others","Others"
"42768-TAM","Female",45,"No","Tamil Nadu",13,14,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.40","19.40","22.25","Joined","Others","Others"
"46619-RAJ","Male",25,"No","Rajasthan",1,14,"None","No","None","No","No","No","No","No","No","No","No","One Year","No","Credit Card","20.40","20.40","47.90","Joined","Others","Others"
"84613-BIH","Female",30,"No","Bihar",8,22,"Deal 5","Yes","Fiber Optic","No","Yes","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","79.15","79.15","157.15","Joined","Others","Others"
"91320-PUD","Female",58,"No","Puducherry",0,18,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","70.10","70.10","71.25","Joined","Others","Others"
"39540-BIH","Female",34,"No","Bihar",12,13,"None","No","Cable","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card","49.05","49.05","74.82","Joined","Others","Others"
"19539-PUN","Female",37,"Yes","Punjab",14,8,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","45.40","45.40","94.73","Joined","Others","Others"
"23256-HAR","Female",32,"Yes","Haryana",10,31,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.85","52.00","124.10","Joined","Others","Others"
"66164-CHH","Female",62,"No","Chhattisgarh",13,20,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.40","61.05","74.35","Joined","Others","Others"
"45038-BIH","Female",25,"Yes","Bihar",7,14,"None","No","Fiber Optic","Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","74.55","233.65","263.95","Joined","Others","Others"
"58974-MAD","Male",34,"No","Madhya Pradesh",11,14,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.30","41.20","66.56","Joined","Others","Others"
"94243-TAM","Female",34,"No","Tamil Nadu",5,15,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.90","19.90","27.66","Joined","Others","Others"
"92398-AND","Male",35,"No","Andhra Pradesh",5,12,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.00","61.70","107.81","Joined","Others","Others"
"84535-TAM","Male",46,"No","Tamil Nadu",2,36,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check","20.40","42.90","141.96","Joined","Others","Others"
"72971-TAM","Female",81,"No","Tamil Nadu",6,8,"None","No","Fiber Optic","No","No","No","Yes","No","No","No","Yes","One Year","No","Bank Withdrawal","74.70","74.70","102.35","Joined","Others","Others"
"56554-RAJ","Female",29,"Yes","Rajasthan",0,11,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.75","19.75","29.97","Joined","Others","Others"
"86362-ASS","Female",35,"Yes","Assam",15,11,"None","No","Fiber Optic","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","74.30","74.30","113.85","Joined","Others","Others"
"64327-AND","Female",59,"Yes","Andhra Pradesh",8,9,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.65","20.65","55.89","Joined","Others","Others"
"84687-PUN","Female",31,"No","Punjab",0,18,"Deal 5","No","Cable","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","24.70","24.70","94.70","Joined","Others","Others"
"28239-UTT","Female",55,"Yes","Uttar Pradesh",0,5,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.95","19.95","58.79","Joined","Others","Others"
"46571-HAR","Female",65,"Yes","Haryana",8,33,"Deal 5","Yes","Fiber Optic","No","No","No","No","No","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","84.05","186.05","229.85","Joined","Others","Others"
"42574-ASS","Female",25,"No","Assam",5,3,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.55","19.55","27.78","Joined","Others","Others"
"71261-TAM","Female",59,"No","Tamil Nadu",2,27,"None","No","Cable","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","70.45","70.45","90.55","Joined","Others","Others"
"14567-TAM","Male",43,"No","Tamil Nadu",1,9,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.35","20.35","64.44","Joined","Others","Others"
"77688-TAM","Male",35,"No","Tamil Nadu",4,13,"None","No","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card","49.00","49.00","98.19","Joined","Others","Others"
"53612-UTT","Female",39,"Yes","Uttar Pradesh",8,34,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.85","72.00","107.31","Joined","Others","Others"
"13058-MAD","Female",58,"No","Madhya Pradesh",13,22,"None","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","46.10","130.15","138.13","Joined","Others","Others"
"23729-UTT","Female",58,"No","Uttar Pradesh",14,19,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.65","38.80","58.02","Joined","Others","Others"
"12136-RAJ","Female",25,"Yes","Rajasthan",2,35,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.90","19.90","31.73","Joined","Others","Others"
"35658-JHA","Male",35,"No","Jharkhand",2,16,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check","20.45","20.45","60.06","Joined","Others","Others"
"63487-MAH","Female",36,"Yes","Maharashtra",8,34,"None","No","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","44.75","44.75","85.62","Joined","Others","Others"
"86289-UTT","Male",27,"No","Uttar Pradesh",4,27,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.30","20.30","49.49","Joined","Others","Others"
"32586-UTT","Female",25,"No","Uttar Pradesh",15,10,"None","Yes","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","-8.00","25.75","40.97","Joined","Others","Others"
"66749-KER","Female",47,"No","Kerala",9,5,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.75","20.75","57.03","Joined","Others","Others"
"46479-GUJ","Male",41,"Yes","Gujarat",0,13,"None","No","DSL","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Two Year","No","Credit Card","71.10","213.35","321.73","Joined","Others","Others"
"53295-WES","Female",35,"No","West Bengal",7,33,"Deal 5","Yes","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","25.70","25.70","69.54","Joined","Others","Others"
"15349-UTT","Male",47,"Yes","Uttar Pradesh",9,12,"Deal 5","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","50.15","50.15","90.02","Joined","Others","Others"
"28281-KAR","Male",56,"Yes","Karnataka",8,32,"Deal 5","No","Fiber Optic","No","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","80.35","253.80","402.69","Joined","Others","Others"
"88111-MAH","Female",52,"Yes","Maharashtra",15,32,"None","No","Fiber Optic","Yes","Yes","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card","83.40","83.40","126.46","Joined","Others","Others"
"42029-TAM","Male",32,"Yes","Tamil Nadu",3,30,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","20.50","76.95","187.98","Joined","Others","Others"
"12490-TEL","Female",52,"No","Telangana",9,6,"None","No","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","74.75","238.10","236.76","Joined","Others","Others"
"34024-AND","Female",45,"Yes","Andhra Pradesh",4,21,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.05","20.05","27.71","Joined","Others","Others"
"71752-TEL","Female",51,"No","Telangana",4,2,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.90","57.40","111.20","Joined","Others","Others"
"62968-UTT","Female",18,"No","Uttar Pradesh",4,3,"None","No","Cable","No","No","No","Yes","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card","59.55","59.55","100.94","Joined","Others","Others"
"68826-MAH","Male",48,"No","Maharashtra",14,1,"None","No","Cable","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","24.70","24.70","24.70","Joined","Others","Others"
"36017-TAM","Female",52,"Yes","Tamil Nadu",15,23,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.55","19.55","60.18","Joined","Others","Others"
"83610-BIH","Female",66,"Yes","Bihar",0,11,"Deal 5","No","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal","74.20","140.10","154.68","Joined","Others","Others"
"32563-KAR","Female",34,"Yes","Karnataka",3,22,"None","No","Fiber Optic","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","69.80","146.65","179.03","Joined","Others","Others"
"36284-ODI","Male",43,"Yes","Odisha",4,13,"None","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","44.55","44.55","85.65","Joined","Others","Others"
"46378-MAH","Female",59,"Yes","Maharashtra",15,10,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","70.40","154.80","169.78","Joined","Others","Others"
"44202-TEL","Female",50,"Yes","Telangana",9,14,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","69.95","69.95","81.40","Joined","Others","Others"
"17154-HAR","Male",32,"No","Haryana",13,4,"None","No","None","No","No","No","No","No","No","No","No","One Year","No","Mailed Check","18.80","18.80","62.37","Joined","Others","Others"
"19837-TAM","Female",57,"Yes","Tamil Nadu",4,6,"None","No","Cable","No","Yes","No","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal","51.40","96.80","96.80","Joined","Others","Others"
"13666-UTT","Male",57,"Yes","Uttarakhand",15,16,"None","No","Fiber Optic","No","Yes","No","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal","95.40","293.15","344.18","Joined","Others","Others"
"48307-WES","Female",56,"No","West Bengal",4,15,"Deal 5","No","Cable","No","No","Yes","No","Yes","Yes","Yes","No","One Year","Yes","Bank Withdrawal","69.95","220.45","338.98","Joined","Others","Others"
